Week,Date,Speaker/Guest,Topics
1,June 23, 2026,TBD,"Class Introduction & Meet and Greet; Reveal Studio Logistics & Procedures (directions, parking, entry, safety); Overview of the program, Wacom/iPad setup checklist, and file-naming rules; Discussion: Preview of Saturday's classical-to-digital translation paradigm"
2,June 30, 2026,Senior digital illustrator — live demo on building a personal brush library,"Discussion: Simulating tactile surfaces in a backlit digital space; Preview: Tuesday readings review — Noise vs. Pattern & Procedural generation; Workflow breakdown: Contrast preparation for custom brush presets"
3,July 7, 2026,Concept artist or film matte painter — live demo on building atmospheric depth,"Discussion: Traditional glazing vs. digital layering and transparency; Preview: Lighting as a character and cinematic depth; Workflow breakdown: Non-destructive light adjustments and layer stack safety"
4,July 14, 2026,Senior graphic designer — live portfolio structure walkthrough,"Discussion: Responsive layout design for variable screen viewports; Preview: InDesign page engineering and grids vs. Illustrator vector assets; Workflow breakdown: Export conventions and bleed parameters"
5,July 21, 2026,Publishing or entertainment illustrator — narrative structure demo,"Discussion: Auditory spaces, diegetic vs. non-diegetic sound, and leitmotifs in film; Preview: Preston Blair expression guides and character turnaround principles; Workflow breakdown: The hybrid straight-ahead vs. pose-to-pose animation plan"
6,July 28, 2026,Art director or creative agency lead — live portfolio brief breakdown,"Discussion: Working under the parameters of a professional design brief; Preview: Page engineering margins, columns, and document bounds in InDesign; Workflow breakdown: Assets syncing with CC Libraries and shared color spaces"
7,August 4, 2026,TBD,"Discussion: The anatomy of a professional design brief; Preview: The four distinct simulation tracks (Concept Art, Poster, Storyboard, Book Cover); Workflow breakdown: How peer review validates the integrity of a brief"
8,August 11, 2026,Panel critic — live review of past student portfolios,"Discussion: Receiving and processing constructive art direction; Preview: Structuring a professional presentation pitch deck; Workflow breakdown: Handoff formats and packaging documents"
9,August 18, 2026,Creative entrepreneur — navigating freelance taxes & operations,"Discussion: What makes a contract legally binding and protective for creatives; Preview: Freelance business operations & tax structures; Workflow breakdown: Drafting client agreements and proposal sheets"
10,August 25, 2026,Hiring managers & agency recruiters (Guest Panel),"Discussion: Crafting a compelling elevator pitch and story; Preview: Hiring pipelines in animation, tech, and creative agencies; Workflow breakdown: Resumes and LinkedIn profiles optimized for ATS bots"
11,September 1, 2026,TBD,"Discussion: Selection vs. clutter — why removing weaker pieces saves a portfolio; Preview: Interactive web formats vs. static multi-page PDF presentation books; Workflow breakdown: Grid alignments and negative space in portfolio cards"
12,September 8, 2026,Past graduates sharing their showcase experiences (Guest Speakers),"Discussion: Formulating a cohesive narrative about your creative trajectory; Preview: Presentation staging, pacing, and time management; Workflow breakdown: AV guidelines, screen share checks, and backup decks"
13,September 15, 2026,TBD,"Discussion: Networking and professional social etiquette at Reveal; Preview: Meet the panel profiles and company briefs; Workflow breakdown: Following up, promo cards, and email templates"
